"match_id","date","team1","team2","venue","toss_winner","toss_decision","powerplay_runs","death_overs_runs","toss_win_helped","outcome_label","head_to_head_win_pct"
"1142917","2018-07-05","Pakistan","Australia","Harare Sports Club","Australia","field","50","53",0,1,"38.10"
"858491","2015-04-24","Bangladesh","Pakistan","Shere Bangla National Stadium","Pakistan","bat","31","27",1,0,"50.00"
"1185314","2020-02-14","South Africa","England","Kingsmead","South Africa","field","60","68",1,1,"50.00"
"1044211","2016-09-27","Sri Lanka","Australia","Sinhalese Sports Club Ground","Australia","field","22","11",1,0,"72.73"
"966745","2016-02-24","India","Bangladesh","Shere Bangla National Stadium","Bangladesh","field","37","51",0,1,"33.33"
"1199546","2019-11-01","Ireland","Netherlands","Dubai International Cricket Stadium","Ireland","field","35","52",1,1,"23.08"
"966753","2016-02-28","Bangladesh","Sri Lanka","Shere Bangla National Stadium","Bangladesh","bat","43","39",1,1,"66.67"
"1202007","2019-09-29","Malaysia","Vanuatu","Kinrara Academy Oval","Vanuatu","bat","47","35",0,1,NULL
"1153697","2019-02-08","New Zealand","India","Eden Park","New Zealand","bat","45","29",0,0,"25.00"
"1148050","2018-06-03","Thailand","Pakistan","Kinrara Academy Oval","Thailand","bat","29","12",0,0,NULL
"426393","2010-07-06","Australia","Pakistan","Edgbaston","Pakistan","bat","61","37",0,1,"50.00"
"1122287","2018-02-24","India","South Africa","Newlands","South Africa","field","49","42",0,1,"46.67"
"527690","2012-02-22","New Zealand","England","Eden Park","New Zealand","field","21","37",1,1,"71.43"
